theta1,theta2,theta3,L1,L2,L3,roll,pitch,yaw
0,0,0,0.05124837953326988,0.05124837953326988,0.05124837953326988,2.69,3.53,-0.09
133,143,62,18.251474735072684,18.775073510670985,14.37997179924686,1.90,4.97,-0.05
129,100,108,18.042035224833366,16.5235987755983,16.942477796076936,-4.54,5.99,0.27
152,56,56,19.246312408709453,13.617072883547621,13.617072883547621,-3.74,-0.61,0.02
119,111,151,17.518436449235068,17.099557428756427,19.193952531149623,-6.89,7.99,0.59
43,105,108,11.477693490231381,16.78539816339745,16.942477796076936,-2.96,12.67,0.32
193,130,166,21.39306738866248,18.094395102393197,19.979350694547072,-5.60,16.83,0.87
169,132,117,20.136430327226563,18.199114857512857,17.413716694115408,-2.58,3.18,0.28
47,172,68,12.205766788797881,20.293509959906054,14.997923866109716,3.91,10.37,-0.25
180,23,149,20.712388980384688,6.946672270512806,19.089232776029963,-19.83,-3.22,-0.52
192,164,169,21.34070751110265,19.874630939427412,20.136430327226563,-7.14,4.15,0.58
151,27,190,19.193952531149623,7.9679225600762535,21.23598775598299,-20.04,0.10,0.41
24,35,120,7.207196026308502,9.840195070521261,17.570796326794895,-12.30,9.88,1.11
144,110,62,18.827433388230816,17.047197551196597,14.37997179924686,0.18,1.52,0.17
84,163,101,15.925247774155828,19.822271061867582,16.57595865315813,0.21,7.71,0.28
110,36,76,17.047197551196597,10.057903322897012,15.59343906930571,-9.19,0.38,0.30
31,129,197,8.932839602563512,18.042035224833366,21.602506898901797,2.09,14.49,-0.10
75,91,190,15.53337271280406,16.05235987755983,21.23598775598299,-1.67,7.81,0.34
144,134,25,18.827433388230816,18.303834612632514,7.4642593033726214,10.11,-4.36,1.10
29,30,127,8.457501307691139,8.696960070847283,17.937315469713706,-13.87,10.26,1.66
126,143,134,17.884955592153876,18.775073510670985,18.303834612632514,-4.13,7.74,0.76
104,160,149,16.73303828583762,19.66519142918809,19.089232776029963,-4.34,10.23,0.96
20,56,132,6.144548009571466,13.617072883547621,18.199114857512857,-8.55,15.36,1.34
172,13,90,20.293509959906054,4.155840641977967,16.0,-18.79,-7.69,-1.42
109,119,5,16.994837673636766,17.518436449235068,1.69070672919662,18.55,-9.86,2.86
95,49,127,16.26179938779915,12.546720267483146,17.937315469713706,-10.58,3.12,1.22
119,97,24,17.518436449235068,16.366519142918808,7.207196026308502,7.74,-6.04,1.51
196,49,156,21.550147021341967,12.546720267483146,19.45575191894877,-13.37,3.63,1.43
184,93,45,20.92182849062401,16.15707963267949,11.849387132784805,0.82,-1.59,0.89
7,106,109,2.3255854780996543,16.83775804095728,16.994837673636766,-2.72,25.02,0.71
154,152,65,19.351032163829114,19.246312408709453,14.707184626965642,1.61,2.25,0.95
183,138,1,20.86946861306418,18.513274122871834,0.385004883279187,20.02,-11.65,3.85
90,130,137,16.0,18.094395102393197,18.460914245312004,-5.44,7.86,1.53
195,56,163,21.49778714378214,13.617072883547621,19.822271061867582,-12.43,7.19,1.97
11,27,42,3.55835397504017,7.9679225600762535,11.28614033248413,-5.41,13.70,1.05
106,168,12,16.83775804095728,20.084070449666733,3.8586926565269692,21.00,-1.51,1.75
1,110,80,0.385004883279187,17.047197551196597,15.79244135387939,1.57,24.70,0.24
58,171,131,13.887353348741506,20.24115008234622,18.146754979953023,2.09,18.53,0.78
14,47,164,4.449773801476823,12.205766788797881,19.874630939427412,-11.91,23.88,2.65
197,25,38,21.602506898901797,7.4642593033726214,10.482241390103653,-4.28,12.63,1.32
131,18,87,18.146754979953023,5.5928861093607765,15.981308661506603,-16.14,-2.45,0.90
151,187,113,19.193952531149623,21.0789081233035,17.204277183876087,-18.62,-3.28,0.71
179,195,150,20.66002910282486,21.49778714378214,19.141592653589793,-22.52,-4.21,0.31
150,113,162,19.141592653589793,17.204277183876087,19.76991118430775,-9.95,4.12,1.72
134,73,147,18.303834612632514,15.400892767899983,18.984513020910303,-10.64,3.41,1.62
121,30,140,17.62315620435473,8.696960070847283,18.617993877991495,-17.08,0.37,1.31
157,78,126,19.5081117965086,15.701201093766748,17.884955592153876,-8.50,0.91,1.32
103,197,8,16.68067840827779,21.602506898901797,2.638439589399816,13.37,-9.85,3.27
93,188,38,16.15707963267949,21.13126800086333,10.482241390103653,3.16,-2.53,1.99
85,93,188,15.948085017929593,16.15707963267949,21.13126800086333,3.86,-1.60,1.95
120,11,146,17.570796326794895,3.55835397504017,18.932153143350472,-24.15,-1.61,1.73
187,110,9,21.0789081233035,17.047197551196597,2.9482025545832684,15.83,-9.01,3.13
87,68,103,15.981308661506603,14.997923866109716,16.68067840827779,-6.36,3.89,1.90
73,100,74,15.400892767899983,16.5235987755983,15.46918894115717,-1.52,4.76,1.69
105,183,152,16.78539816339745,20.86946861306418,19.246312408709453,-8.93,7.06,2.09
170,187,102,20.188790204786393,21.0789081233035,16.62831853071796,-5.52,-0.62,1.43
10,105,110,3.2548490294356114,16.78539816339745,17.047197551196597,-2.97,24.44,1.43
0,196,142,0.05124837953326988,21.550147021341967,18.722713633111155,-5.56,30.70,2.03
185,60,47,20.97418836818384,14.14167955265112,12.205766788797881,1.90,24.50,0.32
124,131,158,17.780235837034216,18.146754979953023,19.56047167406843,-7.02,10.14,2.16
186,19,0,21.02654824574367,5.870393709947933,0.05124837953326988,5.47,-14.56,3.53
15,55,82,4.740468306292527,13.475976088430102,15.86713135486815,-4.44,16.99,2.25
74,61,6,15.46918894115717,14.262834704032542,2.0096658716147076,13.72,-4.71,2.90
2,68,165,0.7158563429488609,14.997923866109716,19.926990816987242,-9.95,25.23,3.75
70,118,123,15.171384800269436,17.466076571675238,17.727875959474385,-3.36,13.65,2.21
89,106,119,15.99792307655433,16.83775804095728,17.518436449235068,-4.17,11.19,2.24
130,55,132,18.094395102393197,13.475976088430102,18.199114857512857,-9.94,5.35,2.26
193,174,195,21.39306738866248,20.39822971502571,21.49778714378214,0.49,10.38,2.02
10,73,55,3.2548490294356114,15.400892767899983,13.475976088430102,-0.04,17.55,1.53
130,95,45,18.094395102393197,16.26179938779915,11.849387132784805,1.35,0.76,2.31
105,94,148,16.78539816339745,16.20943951023932,19.036872898470133,-8.56,8.31,2.77
73,153,74,15.400892767899983,19.298672286269284,15.46918894115717,1.24,7.48,2.15
160,141,156,19.66519142918809,18.670353755551325,19.45575191894877,-6.92,5.84,2.63
44,143,40,11.665447355061374,18.775073510670985,10.891696849574167,6.30,6.76,1.93
